Nhưng giờ chúng ta đang nói về lễ cưới của cậu đó, Noc.        But this is your wedding we're talking about, Noc.
Tập trang Chọn « Mọi trang », « Trang chẵn » hay « Trang lẻ » nếu bạn muốn trang các trang khớp một của mô tả này. Mặc định là « All Pages ». Ghi chú: nếu bạn tổ hợp một giá trị kiểu « Loạt trang » với giá trị kiểu « Tập trang » là « Lẻ » hay « Chẵn », bạn sẽ nhận chỉ những trang lẻ hay những trang chẵn từ loạt trang đã chọn gốc. Có ích nếu bạn muốn in hai chiều một loạt trang trên máy in chỉ in chiều đơn. Trong trường hợp này, bạn có thể nạp giấy hai lần vào máy in: lần thứ nhất, hãy chọn « Lẻ » hay « Chẵn » (phụ thuộc vào mô hỉnh máy in), còn lần thứ hai, hãy chọn tùy chọn còn lại. Có lẽ bạn cần « Ngược » kết xuất trong một lần in (phụ thuộc vào mô hỉnh máy in). Gợi ý thêm cho người sử dụng thành thạo: yếu tố GUI KDEPrint này tương ứng với tham số tùy chọn công việc dòng lệnh CUPS:-o page-set=... # example: " odd " or " even "        Page Set: Choose " All Pages ", " Even Pages " or " Odd Pages " if you want to print a page selection matching one of these terms. The default is " All Pages ". Note: If you combine a selection of a " Page Range " with a " Page Set " of " Odd " or " Even ", you will only get the odd or even pages from the originally selected page range. This is useful if you want to print a page range in duplex on a simplex-only printer. In this case you can feed the paper to the printer twice; in the first pass, select " Odd " or " Even " (depending on your printer model), in second pass select the other option. You may need to " Reverse " the output in one of the passes (depending on your printer model). Additional hint for power users: This KDEPrint GUI element matches with the CUPS commandline job option parameter:-o page-set=... # example: " odd " or " even "
Vào năm 1979, anh nói về khả năng học thuyết về vạn vật sẽ được khám phá ra trước khi bước sang thế kỉ mới.        In 1979, you talked about the possibility of a theory of everything being discovered before the end of the century.
Nếu bạn đang di chuyển toàn bộ trang web, hãy triển khai lệnh 301 và thực hiện các thay đổi cần thiết với sơ đồ trang web, sau đó cho Google biết về việc di chuyển để chúng tôi có thể bắt đầu thu thập dữ liệu trang web mới và chuyển tiếp tín hiệu của bạn đến trang mới.        If you're migrating an entire site, implement all the 301 and sitemap changes you need, then tell Google about the move so that we can start crawling the new site and forwarding your signals to the new site.
Kiểm tra các chuyển hướng từ trang web cũ sang trang mới.        Check your redirects from the old site to the new one.
Càng du hành lâu, bạn càng thấy khó khăn hơn để phân biệt khi nào thì kết thúc một ngày và bước sang ngày mới.        The more time we spend out here, the harder it is to tell where one day ends and the next one begins.
Báo cáo Hình ảnh hóa kênh chỉ thể hiện một phiên đối với mỗi bước trong kênh, do đó nếu người dùng sử dụng một bước hai lần—bằng cách điều hướng trở lại bước đó từ một bước khác hoặc làm mới trang/màn hình—phiên thứ hai thể hiện là một lần thoát khỏi trang/màn hình của bước đó.        The Funnel Visualization report only shows one session to each step in the funnel, so if a user sees the same step twice—either by navigating back to it from another step or refreshing the page/screen—the second session shows as an exit to that step's page/screen.
Sau khi thực hiện các bước chuẩn bị, nếu đáp ứng các điều kiện bên dưới thì bạn có thể sử dụng công cụ Thay đổi địa chỉ để chuyển tiếp các tín hiệu từ trang web cũ sang trang web mới.        After performing the pre-work, if you fulfill the requirements below, you can use the Change of Address tool to forward your old site signals to your new site.
Vào một chiều nọ, cuộc đời tôi bước sang trang khác.        One afternoon my life changed.
Bạn cũng có thể khám phá một số thứ như mức giảm cao bất thường từ một trang mới mà bạn đã giới thiệu, như trang chủ mới hoặc trang sản phẩm mới.        You might also discover something like an unusually high drop-off from a new page you've introduced, like a new home page or new product page.
Không có tên miền của bạn trong danh sách loại trừ, khi người dùng đi từ một tên miền phụ sang một tên miền phụ khác trên trang web của bạn, Analytics coi đó là giới thiệu từ một tên máy chủ sang một tên máy chủ khác và bắt đầu phiên mới.        Without your domain in the exclusion list, when a user goes from one subdomain to another on your site, Analytics sees that as a referral from one hostname to another and starts a new session.
Và tôi đang bày tỏ một suy nghĩ rằng nó chỉ vửa mới loé lên trong đầu tôi đêm Giao Thừa, một dạng bước ngoặt biểu tượng khi chúng ta chuyển từ 2006 sang 2007 mà có lẽ, bạn biết đấy, tương lai đã là loại hình thúc đẩy cải tiến mạnh nhất của một quốc gia.        And I was voicing the thought that -- it just crossed my mind that New Year's Eve, a sort of symbolic turning point as we move from 2006 to 2007 -- that maybe, you know, the future was the most powerful, innovative sort of nation.
Để có thể sử dụng trang web của mình cho các hành động liên quan đến trang web, chẳng hạn như hiển thị quảng cáo trên trang web mới hoặc thiết lập quy tắc chặn cấp trang web, trước tiên, bạn cần thêm trang web đó vào danh sách trang web.        To make your site available for site-related actions, such as showing ads on a new site or setting up site-level blocking rules, you first need to add the site to your sites list.
Sự thông minh của Ấn Độ cũng dùng những kiến thức truyền thống, thế nhưng, kiểm chứng nó bằng khoa học và đi từ người sang chuột rồi mới lại sang người, chứ không phải từ phân tử rồi mới sang chuột rồi sang người, bạn thấy không.        The Indian cleverness was using its traditional knowledge, however, scientifically validating it and making that journey from men to mice to men, not molecule to mice to men, you know.
Ví dụ: trong khung thời gian đã chọn, người dùng mở trang chủ, chuyển đến trang sản phẩm, sau đó quay lại trang chủ trước khi chuyến đến trang sản phẩm khác. Khi đó, đường dẫn sẽ hiển thị một người dùng trang chủ tại điểm bắt đầu và một người dùng trang sản phẩm trong bước đầu tiên.        For example, when a user opens the home page, navigates to a product page, and then returns to the home page before navigating to another product page within the timeframe selected, the path will show one home page user on the starting point and one product page user for each product in the first step.
Sao không dùng dịp trọng đại này, lễ sắc phong của một đấng quân vương mới, một đứa trẻ xinh đẹp, biểu tượng của sự cách tân, thay đổi, và tiến bộ, để sang một trang mới?        Why not use a celebration such as this, the investiture of a new sovereign, a beautiful young child, symbol of modernity, change and progress, to turn a page?
Việc kiểm soát hầu hết thao tác di chuyển từ trang này sang trang khác trên trang web thông qua các liên kết văn bản giúp công cụ tìm kiếm thu thập dữ liệu và hiểu trang web của bạn dễ dàng hơn.        Controlling most of the navigation from page to page on your site through text links makes it easier for search engines to crawl and understand your site.
Nếu có các trang tương ứng trên trang web mới, bạn nên cung cấp lệnh chuyển hướng từ trang web cũ sang trang mới và cung cấp các thẻ rel=canonical để giảm số lượng URL cũ hiển thị trong Tìm kiếm.        If you have equivalent pages on your new site, providing redirects from the old site to the new and providing rel=canonical tags can reduce the number of old URLs shown in Search.
